id,name,price,URL
14421691,Distillerie Vice Vertu Be Origin Barrique Unique Édition Spéciale,49.75,https://www.saq.com/fr/14421691
13385827,Domaine Lafrance Dandy,41.5,https://www.saq.com/fr/13385827
13875279,Domaine Lafrance Dandy Old Tom Gin,55.75,https://www.saq.com/fr/13875279
14786391,Echo Foxtrot Framboises,47.25,https://www.saq.com/fr/14786391
13983886,Entre Pierre & Terre Gin du verger,43,https://www.saq.com/fr/13983886
10456861,Gilbey's,44.75,https://www.saq.com/fr/10456861
12755081,Gin de Neige,31,https://www.saq.com/fr/12755081
11584072,Gordon's,33,https://www.saq.com/fr/11584072
111021,Gordon's,51.25,https://www.saq.com/fr/111021
1040,Gordon's,22.05,https://www.saq.com/fr/1040
14724683,Gordon's Citron Sicilien,25.2,https://www.saq.com/fr/14724683
14077244,Gordon's Premium Pink,25.2,https://www.saq.com/fr/14077244
14486662,Guy Lafleur 10,45.25,https://www.saq.com/fr/14486662
14731971,Intermiel Api,50,https://www.saq.com/fr/14731971
14405041,Jardin Verde,38.25,https://www.saq.com/fr/14405041
14185333,Kepler,45,https://www.saq.com/fr/14185333
14786382,KRWN Framboise,61,https://www.saq.com/fr/14786382
14622880,La Société secrète Les Herbes Folles,47.25,https://www.saq.com/fr/14622880
13757029,La Société Secrète Les Herbes Folles Dry Gin,55,https://www.saq.com/fr/13757029
14682866,Lafrance,48.25,https://www.saq.com/fr/14682866
13876298,Le Gin de Marie-Victorin,45,https://www.saq.com/fr/13876298
13826910,Levenswater Spring 34,50.25,https://www.saq.com/fr/13826910
14348956,Loop Lime et Gingembre,39.5,https://www.saq.com/fr/14348956
14681273,Lumette! London Dry,43.5,https://www.saq.com/fr/14681273
13144361,Madison Park,24.95,https://www.saq.com/fr/13144361
12746184,Madison Park,42.25,https://www.saq.com/fr/12746184
13535864,Madison Park Breakfast,49,https://www.saq.com/fr/13535864
13940923,Madison Park Cépage,46.5,https://www.saq.com/fr/13940923
13666362,Madison Park Pink,33.5,https://www.saq.com/fr/13666362
13264056,Madison Park Vieilli en Fût,69.5,https://www.saq.com/fr/13264056
14469441,Maison Livernois Jules-Ernest,47,https://www.saq.com/fr/14469441
14622863,Maison Livernois Wilhelmine,46.75,https://www.saq.com/fr/14622863
14809978,Maison Nokomis Akenes,45.5,https://www.saq.com/fr/14809978
14736810,Masq,42.75,https://www.saq.com/fr/14736810
10454,Maxi Dry Gin,19.95,https://www.saq.com/fr/10454
4077,Melchers Maxi Dry Gin,29.7,https://www.saq.com/fr/4077
29645,Melchers Maxi Dry Gin,50.25,https://www.saq.com/fr/29645
14108709,Menaud Gin,65.5,https://www.saq.com/fr/14108709
14235960,Mugo,47,https://www.saq.com/fr/14235960
14347996,Noroi,27.8,https://www.saq.com/fr/14347996
14233788,Noroi,4.9,https://www.saq.com/fr/14233788
14810573,Noroi Boréal,49,https://www.saq.com/fr/14810573
